"Volume Ekspor Menurut Negara/Wilayah/Entitas tertentu Tujuan Utama (Berat bersih: ribu ton), 2000-2024",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Negara/Wilayah/Entitas tertentu Tujuan,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Swedia, 68.2 , 89.8 , 89.0 , 52.4 , 62.7 , 45.8 , 107.1 , 31.6 , 79.6 , 71.6 , 38.6 , 35.7 , 38.7 , 26.3 , 38.6 , 43.0 , 34.6 , 40.6 , 54.9 , 63.5 , 79.5 , 96.8 , 72.4 , 69.6 , 83.0 
Finlandia, 96.8 , 198.6 , 231.3 , 217.3 , 84.2 , 66.5 , 23.7 , 24.9 , 158.6 , 19.1 , 34.5 , 80.5 , 85.2 , 42.4 , 37.1 , 29.2 , 32.6 , 33.7 , 30.7 , 30.9 , 28.8 , 34.4 , 39.0 , 20.6 , 13.6 
Italia," 2,599.1 "," 2,275.5 "," 3,906.8 "," 5,731.0 "," 6,072.5 "," 7,057.9 "," 8,438.0 "," 6,961.8 "," 6,682.4 "," 7,190.5 "," 7,833.4 "," 6,875.5 "," 5,477.0 "," 4,550.3 "," 5,231.5 "," 4,684.5 "," 2,516.5 "," 2,524.1 "," 2,346.7 "," 1,539.0 "," 1,714.7 "," 1,768.0 "," 3,319.9 "," 2,789.7 "," 2,137.8 "
Spanyol," 4,251.8 "," 3,408.7 "," 4,108.3 "," 4,110.8 "," 3,560.8 "," 4,213.2 "," 5,459.7 "," 5,220.6 "," 5,558.1 "," 5,915.8 "," 2,781.4 "," 4,795.9 "," 6,837.5 "," 5,462.1 "," 5,631.3 "," 6,237.4 "," 6,540.3 "," 5,705.5 "," 7,047.4 "," 3,327.6 "," 1,670.8 "," 1,856.2 "," 1,883.3 "," 1,637.8 "," 1,568.0 "
Yunani, 179.6 , 177.6 , 289.8 , 357.2 , 132.9 , 247.8 , 467.8 , 702.7 , 480.9 , 560.9 , 365.6 , 663.3 , 705.2 , 543.4 , 143.4 , 104.7 , 125.3 , 141.7 , 218.2 , 285.7 , 311.5 , 166.1 , 291.8 , 196.0 , 203.4 
Polandia, - , - , 90.4 , 77.2 , 75.2 , 77.9 , 80.0 , 85.9 , 87.1 , 66.7 , 727.3 , 561.8 , 212.8 , 288.9 , 391.9 , 253.3 , 143.7 , 99.9 , 159.5 , 141.4 , 148.8 , 161.8 ," 2,568.3 ", 549.6 , 336.5 
Uni Eropa Lainnya," 1,782.5 "," 3,019.9 "," 2,163.6 "," 1,795.2 "," 2,433.5 "," 3,447.6 "," 5,680.6 "," 4,089.4 "," 4,505.9 "," 2,376.4 "," 1,311.6 "," 1,234.6 ", 974.6 ," 1,214.5 "," 1,229.6 "," 1,100.6 "," 1,336.0 "," 1,386.3 "," 1,978.2 "," 1,675.0 ", 959.7 , 950.3 ," 1,430.0 "," 2,477.3 "," 2,135.7 "
Eropa Lainnya, 282.6 , 528.9 ," 18,534.4 "," 23,067.6 "," 3,266.2 "," 3,179.1 "," 4,763.8 "," 6,815.9 "," 5,885.8 "," 2,106.1 "," 2,832.3 "," 2,808.3 "," 2,561.6 "," 2,983.1 "," 1,390.7 "," 1,537.0 "," 1,480.2 "," 1,501.2 "," 1,896.0 "," 2,696.1 "," 1,908.1 "," 2,038.1 "," 2,300.2 "," 2,708.1 "," 3,002.3 "
,,,,,,,,,,,,,,,,,,,,,,,,,
Jumlah," 225,102.8 "," 272,456.6 "," 223,270.1 "," 219,566.8 "," 232,317.4 "," 258,731.5 "," 327,172.3 "," 342,773.5 "," 355,054.0 "," 378,999.1 "," 478,846.8 "," 582,219.8 "," 600,136.6 "," 700,005.0 "," 549,465.5 "," 508,827.2 "," 511,728.1 "," 545,846.6 "," 608,907.5 "," 654,474.4 "," 579,678.2 "," 621,905.3 "," 647,906.8 "," 703,740.0 "," 741,741.2 "
,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan: ,,,,,,,,,,,,,,,,,,,,,,,,,
Diolah dari dokumen kepabeanan Ditjen Bea dan Cukai (PEB dan PIB),,,,,,,,,,,,,,,,,,,,,,,,,
Data tahun 2021-2024 merupakan data revisi,,,,,,,,,,,,,,,,,,,,,,,,,
